entity_id,year,biomass,coal,geothermal,hydroelectric,landfill_gas,liquid_nat_gas,nat_gas,nuclear,petroleum_oil,solar,wave_and_tidal,wind
4102079,2013.0,,12590.0,,17937.23,,,49285.0,22889.0,,728.14,,32918.63
4102079,2014.0,,12102.0,,21337.87,,,47861.0,24431.0,,243.13,,32917.0
4102079,2015.0,,11521.0,,16562.93,,,53457.0,23142.0,,245.21,,31865.86
4102079,2016.0,,3803.0,,21230.02,,,55121.0,24381.0,,240.44,,32572.54
4102079,2017.0,,2642.0,,15714.0,,,60997.0,23249.0,,333.0,,34699.0
4102079,2018.0,,1637.0,,23086.0,,,58670.0,23536.0,,421.0,,38247.0
4102079,2019.0,,349.0,,18559.0,,,30870.0,23737.0,,1088.0,,39427.0
4102079,2020.0,,237.0,,22716.0,,,31063.0,24316.0,,1568.0,,43563.0
5001286,,,,,,,,,,,,,
5001102,,,,,,,,,,,,,
5001190,,,,,,,,,,,,,
5001261,,,,,,,,,,,,,
5001189,2012.0,440.0,53290.0,,450.0,,,2740.0,,,,,130.0
5001189,2013.0,440.0,54040.0,,1020.0,,,1110.0,,,,,430.0
5001189,2014.0,430.0,51670.0,,940.0,,,1160.0,,,,,640.0
5001189,2015.0,460.0,51320.0,,930.0,,,2050.0,,,,,820.0
5001189,2016.0,430.0,48950.0,,880.0,,,2330.0,,,,,1080.0
5001189,2017.0,200.0,51530.0,,910.0,,,2870.0,,,,,1280.0
5001189,2018.0,170.0,59800.0,,760.0,,,4120.0,,,,,1060.0
5001189,2019.0,360.0,51180.0,,1020.0,,,4490.0,,,,,1270.0
5001189,2020.0,390.0,50030.0,,1170.0,,,5050.0,,,,,1490.0
5001189,2021.0,410.0,61550.0,,1140.0,,,4220.0,,,,,1450.0
4157528,2014.0,,22709.0,,3906.0,,,3940.0,,4521.0,4.2,,257.8
4157528,2015.0,,19418.0,,5391.0,,,4424.0,,4573.0,4.53,,278.47
4157528,2016.0,,14898.0,,4967.43,,,5603.0,,4638.0,2.36,,146.2
4157528,2017.0,,16387.0,,3573.6,,,7656.0,,4827.0,2.23,,138.16
4157528,2018.0,,14907.0,,3456.0,,,6362.0,,4586.0,2.24,,
4157528,2019.0,,10418.0,,3458.49,,,7120.0,,4595.0,1.31,,162.2
4157528,2020.0,,5722.0,,3011.13,,,8567.0,,3832.0,1.62,,186.25
5001070,,,,,,,,,,,,,
