entity_id,tc_absolute_ghg_scope_1_cy2021,tc_absolute_ghg_scope_1_cy2020,tc_absolute_ghg_scope_1_cy2019,tc_absolute_ghg_scope_1_cy2018,tc_absolute_ghg_scope_1_cy2017,tc_absolute_ghg_scope_1_cy2016,tc_absolute_ghg_scope_1_cy2015,tc_absolute_ghg_scope_1_cy2014,tc_absolute_ghg_scope_1_cy2013,tc_absolute_ghg_scope_1_cy2012,tc_absolute_ghg_scope_1_cy2011,tc_absolute_ghg_scope_1_cy2010,tc_absolute_ghg_scope_1_cy2009,tc_absolute_ghg_scope_1_cy2008,tc_absolute_ghg_scope_1_cy2007,tc_absolute_ghg_scope_1_cy2006,tc_absolute_ghg_scope_1_cy2005,tc_absolute_ghg_scope_1_cy2004,tc_absolute_ghg_scope_2_cy2021,tc_absolute_ghg_scope_2_cy2020,tc_absolute_ghg_scope_2_cy2019,tc_absolute_ghg_scope_2_cy2018,tc_absolute_ghg_scope_2_cy2017,tc_absolute_ghg_scope_2_cy2016,tc_absolute_ghg_scope_2_cy2015,tc_absolute_ghg_scope_2_cy2014,tc_absolute_ghg_scope_2_cy2013,tc_absolute_ghg_scope_2_cy2012,tc_absolute_ghg_scope_2_cy2011,tc_absolute_ghg_scope_2_cy2010,tc_absolute_ghg_scope_2_cy2009,tc_absolute_ghg_scope_2_cy2008,tc_absolute_ghg_scope_2_cy2007,tc_absolute_ghg_scope_2_cy2006,tc_absolute_ghg_scope_2_cy2005,tc_absolute_ghg_scope_2_cy2004,tc_intensity_ghg_scope_1_cy2021,tc_intensity_ghg_scope_1_cy2020,tc_intensity_ghg_scope_1_cy2019,tc_intensity_ghg_scope_1_cy2018,tc_intensity_ghg_scope_1_cy2017,tc_intensity_ghg_scope_1_cy2016,tc_intensity_ghg_scope_1_cy2015,tc_intensity_ghg_scope_1_cy2014,tc_intensity_ghg_scope_1_cy2013,tc_intensity_ghg_scope_1_cy2012,tc_intensity_ghg_scope_1_cy2011,tc_intensity_ghg_scope_1_cy2010,tc_intensity_ghg_scope_1_cy2009,tc_intensity_ghg_scope_1_cy2008,tc_intensity_ghg_scope_1_cy2007,tc_intensity_ghg_scope_1_cy2006,tc_intensity_ghg_scope_1_cy2005,tc_intensity_ghg_scope_1_cy2004,tc_intensity_ghg_scope_2_cy2021,tc_intensity_ghg_scope_2_cy2020,tc_intensity_ghg_scope_2_cy2019,tc_intensity_ghg_scope_2_cy2018,tc_intensity_ghg_scope_2_cy2017,tc_intensity_ghg_scope_2_cy2016,tc_intensity_ghg_scope_2_cy2015,tc_intensity_ghg_scope_2_cy2014,tc_intensity_ghg_scope_2_cy2013,tc_intensity_ghg_scope_2_cy2012,tc_intensity_ghg_scope_2_cy2011,tc_intensity_ghg_scope_2_cy2010,tc_intensity_ghg_scope_2_cy2009,tc_intensity_ghg_scope_2_cy2008,tc_intensity_ghg_scope_2_cy2007,tc_intensity_ghg_scope_2_cy2006,tc_intensity_ghg_scope_2_cy2005,tc_intensity_ghg_scope_2_cy2004
4347753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4107739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5001001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4825813,,11522624.18,11294763.83,11106471.99,11370700.87,9457402.836,8654830.124,810693.4341,6777432.772,6186006.316,5112996.422,7846210.612,3168766.822,2283768.122,968942.1801,665198.3208,606021.502,,,918.333,1037.457629,1170.436961,1125.574929,823.7930058,806.2271399,158443,655.6629304,577.5594358,502.3472838,552.7862196,214.5885828,113.6804734,121.9851551,83.7452655,76.29515792,,,5182.859,4634.143952,4448.036226,4805.97845,5045.831418,4626.767621,414.774309,3994.648192,4202.148484,4064.051033,5940.07185,6321.224883,8680.228512,3532.160178,3756.272634,3994.604851,,,0.413,0.425659896,0.468748853,0.475739263,0.43952031,0.430999289,81.06404107,0.386450567,0.392335601,0.399289346,0.418493719,0.428072738,0.432080857,0.44468196,0.472896637,0.502901311,
4347763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4983369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010185,43600.831,18161.655,45746.43014,61571.90119,41230.95875,24610.04036,,,,,,,,,,,,,4040.487,2087.349,6446.134966,8208.94201,4813.884513,2915.055541,,,,,,,,,,,,,552.903,421.942,354.645483,412.7715996,478.3784328,435.6299075,,,,,,,,,,,,,51.238,48.495,49.97313761,55.0318905,55.85265536,51.60029634,,,,,,,,,,,,
4985353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4981583,805224.696,649141.362,614513.311,602602.8834,435511.5891,,,,,,,,,,,,,,75430.507,62337.191,63934.49868,61494.85921,48709.94757,,,,,,,,,,,,,,1433.943,1324.944,1260.217453,1414.880195,1310.203396,,,,,,,,,,,,,,134.326,127.235,131.1141185,144.3867277,146.5401618,,,,,,,,,,,,,
4985372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4348337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4347765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4981033,2336.784,2132.833,2278.627375,2394.507693,1882.74084,1828.618662,,,,,,,,,,,,,232.903,196.004,224.2897623,252.4798022,199.3429607,178.850241,,,,,,,,,,,,,30.61,31.421,30.22962197,31.07679809,31.40983845,31.41362478,,,,,,,,,,,,,3.051,2.888,2.975560989,3.276775371,3.325646345,3.072447242,,,,,,,,,,,,
4347768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4985365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4982016,,13947773.91,17081179.18,16898177.6,16872936.19,14911241.41,15191616.71,14830113.11,15252264.95,15495332.48,15922337.24,13717374.49,14236162.06,14104623.86,13621416.75,11426072.74,9023317.296,7995015.82,,527347.064,569937.1538,549015.4647,610633.3715,550807,473655.9145,633823.9847,517257.6016,574348.3609,633781.9229,473744,493000,455185.7695,473370.7914,364300.3378,290374.7184,253676.6584,,7497.533,7679.680856,7806.172345,7583.783211,7899.615309,7363.137624,6904.285558,8003.296902,6551.92661,5872.242729,6893.55722,7812.666108,7824.817359,7596.955257,8801.078096,9226.107131,10046.89272,,283.472,256.243167,253.6196174,274.4579283,291.8042361,229.5735702,295.0821583,271.4197645,242.8530213,233.7421468,238.0762714,270.5535647,252.5232538,264.009008,280.6069764,296.9005934,318.7813796
5546918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4347770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4147764,,98194,125636.643,131684.6318,681488.3029,572991.612,447409.358,418503.118,468109.3225,626603.5588,686971.438,946823.6314,991283.3094,1175414.112,1586783.642,1670382.787,1289793.039,1360591.6,,107663,105473,389045,676426,57025.217,327757.512,182384.213,187241.2495,202212.2711,191736.6592,134544.01,138116.03,167569.98,35446.03,126135.6479,100051.8898,105613.4125,,11.865,15.608,14.85836084,78.23905818,86.657,61.66,48.548,51.4153056,69.53157625,74.325431,114.2444723,106.0930194,66.63606116,136.6794041,201.841385,225.3110384,247.4302269,,13.009,13.103,43.89708134,77.6578746,8.624,45.17,21.157,20.5658499,22.43865,20.74454489,16.23418439,14.78199674,9.499803793,3.053183893,15.24165244,17.47783908,19.20631483
4984944,,4443.362,4034.7226,3117.839,3109.723,2726.8472,2939.0869,7217.551496,3638.981404,3366.444974,2522.239109,3687.429426,7045.895996,6086.663355,22.92000101,,,,,3935.764,4330.649902,3234.179932,2807.27,3309.629883,3135.169922,1960.449417,901.9097312,834.3624616,696.2711091,952.2692413,1843.877925,1602.888412,5.998056679,,,,,42.488,46.40182952,41.5637052,51.459,41.65293972,50.55392936,160.793381,150.2866823,152.575312,139.4303364,156.1934039,157.5994337,157.8901,163.7142929,,,,,37.635,49.8051783,43.11463845,46.454,50.55501973,53.92666639,43.67510092,37.24806648,37.81529591,38.4901315,40.33654806,41.2430324,41.57946594,42.84326199,,,
5001012,,1224944.801,2901884.615,2944803.071,2220726.074,1761794.08,,,,,,,,,,,,,,10373.16,125.7416784,134.4485147,160.3739415,142.8914548,,,,,,,,,,,,,,2975.397,9823.440551,10266.92682,6587.644949,5419.108389,,,,,,,,,,,,,,25.196,0.425659896,0.468748853,0.475739263,0.43952031,,,,,,,,,,,,
4347771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4509404,,816337,785771.042,837861,235727,237552.4734,233365.8481,210636.6624,198913.2067,167868.6199,167494.7733,171754.2774,238118.6196,366651.3604,581753.9978,490086.5316,374753.9415,454662.0848,,1952157,2111619.658,2224730.337,362298.946,262500,253567,209642,179571,217573,212713,322587.9621,237866.6636,392768.3913,581138.4421,455026.1255,323394.7101,392692.37,,153.328,147.413,141.682,42.429,54.11790718,49.8514285,36.25284842,37.77044519,28.69372605,25.77710527,28.84026139,55.44360018,52.12388,57.59481131,65.89868342,75.39978806,82.77783955,,366.662,396.146,376.201,65.211,59.80131645,54.16678264,36.08165626,34.09766866,37.18967881,32.73609848,54.16762418,55.38493468,55.83672858,57.53387006,61.18434328,65.06640732,71.49535244
4986666,,33410.773,40105.03812,38820.72745,41310.95084,30883.1616,,,,,,,,,,,,,,18882.122,23886.23437,24453.20117,25475.99805,16764.23438,,,,,,,,,,,,,,45.287,51.88367619,46.90192854,51.48790246,41.99892429,,,,,,,,,,,,,,25.594,30.90149537,29.54355494,31.75200948,22.79817783,,,,,,,,,,,,
4812840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4986476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4985130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4986014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28784285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4986676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100479663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27834385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9381427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100332362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4979835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4980167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4978877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4347775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6451646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6618361,,432563,695347.5623,364330.679,,,,,,,247678.015,214130.361,208085.869,241682.781,213459.767,179361.809,164443.002,,,183848.376,182037.1719,94720.83787,,,,,,,56457.992,51930.542,49794.221,57506.643,51792.797,47028.382,45548.224,,,104.951,174.2641673,94.36066001,,,,,,,92.027,90.648,93.96,95.32,96.714,95.996,96.74,,,44.606,45.62115106,24.5324407,,,,,,,20.977,21.984,22.484,22.681,23.466,25.17,26.795,
13492054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4349734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4010186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
