entity_id,year,absolute_ghg_scope_1,absolute_ghg_scope_2,intensity_ghg_scope_1,intensity_ghg_scope_2,exchange,is_eu,country
4007889,2016,35189216.57,192005,3244.546576,17.70341104,NYSE,#N/A,United States
4007889,2017,33135506.76,153708,2992.05713,13.87946533,NYSE,#N/A,United States
4007889,2018,36499690.13,150000,3315.302488,13.62464644,NYSE,#N/A,United States
4007889,2019,34372800,127713,3159.648,11.74,NYSE,#N/A,United States
4007889,2020,32949001,115308,3257.879,11.401,NYSE,#N/A,United States
4022309,2005,13701980.8,3556.505656,18581.83487,4.82312753,NYSE,#N/A,United States
4022309,2006,13965871.75,4313.376716,18040.86023,5.571941937,NYSE,#N/A,United States
4022309,2012,8094992.464,6016.302341,8421.756392,6.259157488,NYSE,#N/A,United States
4022309,2013,8798028.242,6337.368693,8639.069366,6.222867923,NYSE,#N/A,United States
4022309,2014,8840069.805,8030.339,7776.275,7.064,NYSE,#N/A,United States
4022309,2015,7939111.427,9593.955,5341.168,6.454,NYSE,#N/A,United States
4022309,2016,7644669.672,10413.25823,5706.254887,7.772828416,NYSE,#N/A,United States
4022309,2017,6759818.564,11597.13685,4762.786815,8.171031508,NYSE,#N/A,United States
4022309,2018,6886055.926,10374.3268,4594.99261,6.922679031,NYSE,#N/A,United States
4022309,2019,4591359.202,8175.849,3701.22,6.591,NYSE,#N/A,United States
4022309,2020,4265635.8,3227733,3648.649,2760.87,NYSE,#N/A,United States
4025308,2004,49416112.32,13719.04528,5921.458686,1.643932638,NASDAQGS,#N/A,United States
4025308,2005,65328969.19,14783.27577,6787.129205,1.535857736,NASDAQGS,#N/A,United States
4025308,2006,74676655.86,13389.45539,7588.851963,1.360674145,NASDAQGS,#N/A,United States
4025308,2007,57079958.04,12508.12643,5688.552332,1.246551928,NASDAQGS,#N/A,United States
4025308,2008,61213973.89,13890.13942,5444.833294,1.235493936,NASDAQGS,#N/A,United States
4025308,2009,55205994.52,1007223.97,5724.197716,104.4370127,NASDAQGS,#N/A,United States
4025308,2010,56075310.44,73860,5438.424855,7.163260562,NASDAQGS,#N/A,United States
4025308,2011,54746973.33,1052281,5138.258537,98.7614749,NASDAQGS,#N/A,United States
4025308,2012,54257366.78,1225193.82,5357.059179,120.968565,NASDAQGS,#N/A,United States
4025308,2013,52178080.67,861529,4780.436382,78.93131603,NASDAQGS,#N/A,United States
4025308,2014,52982931.38,620649.1875,4533.82665,53.10985545,NASDAQGS,#N/A,United States
4025308,2015,51570167.38,1061615,4677.78249,96.29606244,NASDAQGS,#N/A,United States
4025308,2016,52832510.97,891278.625,4756.712085,80.24520752,NASDAQGS,#N/A,United States
4025308,2017,47199447.36,846253.875,4138.846542,74.20669352,NASDAQGS,#N/A,United States
4025308,2018,47242129.9,711302,4094.833055,61.6539294,NASDAQGS,#N/A,United States
4025308,2019,44690940.42,672926,3876.393479,58.36811519,NASDAQGS,#N/A,United States
4025308,2020,38867369.94,431294.9,3372.147,37.419,NASDAQGS,#N/A,United States
4025308,2021,39500000,700000,2940.957,52.118,NASDAQGS,#N/A,United States
4056943,2004,80825653.2,5635.874658,7924.860596,0.552590907,NYSE,#N/A,United States
4056943,2005,67551406.59,6816.029079,5699.583495,0.57509575,NYSE,#N/A,United States
4056943,2006,47879536.19,6603.295275,3793.339898,0.523157604,NYSE,#N/A,United States
4056943,2007,54702764.79,7230.75337,4171.640591,0.551418276,NYSE,#N/A,United States
4056943,2008,60584530.02,7497.450323,4293.118416,0.531281534,NYSE,#N/A,United States
4056943,2009,50312136.35,6968.564164,4070.228594,0.563753622,NYSE,#N/A,United States
4056943,2010,56699998.46,7187.100263,4569.26412,0.579184484,NYSE,#N/A,United States
4056943,2011,48799999.9,7150.080448,3824.451403,0.560351132,NYSE,#N/A,United States
4056943,2012,6900000.817,13168.89945,581.6890069,1.110174368,NYSE,#N/A,United States
4056943,2013,6700000.282,15221.84607,532.5491086,1.209907495,NYSE,#N/A,United States
4056943,2014,2399998.429,19315.64502,178.9306374,1.440067891,NYSE,#N/A,United States
